ID_pedido,anos_experiencia_agente,classificacao_agente,latitude_loja,longitude_loja,latitude_entrega,longitude_entrega,data_pedido,hora_pedido,hora_retirada,clima,trafego,veiculo,area,categoria_produto,tempo_entrega
ped_2ohuswkkx,6,3.7,22.746823795502742,75.89409534117458,22.78491931634622,75.91503020387928,2024-03-19,11:30:00,11:45:00,Ensolarado,Alto,Motocicleta,Urbano,Roupas,62
ped_9xcvbx3bu,15,4.6,12.905966625243176,77.68694203574309,13.057098156817343,77.80494155150524,2024-03-25,19:45:00,19:50:00,Chuvoso,Congestionamento,Scooter,Metropolitano,Eletronicos,36
ped_6lvy01poc,6,3.7,12.91699008515066,77.65851492904689,12.92463219183056,77.69171693508395,2024-03-19,08:30:00,08:45:00,Tempestade,Baixo,Motocicleta,Urbano,Esportes,59
ped_guirdyniz,1,4.9,11.004923080143831,76.97177843610086,11.047262835325457,77.02696657024175,2024-04-05,18:00:00,18:10:00,Ensolarado,Medio,Motocicleta,Metropolitano,Cosmeticos,23
ped_bt1gh8nq9,15,3.6,12.958480158193703,80.25080931234082,13.010631286056839,80.29361768565883,2024-03-26,13:30:00,13:45:00,Nublado,Alto,Scooter,Metropolitano,Brinquedos,81
ped_dbfd2rz7j,15,4.9,17.411712818505737,78.41807985096219,17.46511750194532,78.42412387965919,2024-03-11,21:20:00,21:30:00,Nublado,Congestionamento,Motocicleta,Urbano,Brinquedos,97
ped_9n4ohnwup,3,4.5,23.363661394183286,85.33327124752317,23.482082601155636,85.46219453644933,2024-03-04,19:15:00,19:30:00,Neblina,Congestionamento,Scooter,Metropolitano,Brinquedos,78
ped_rxzy2oayg,16,4.5,12.358834681910505,76.60303071541283,12.499222506624204,76.75164810189149,2024-03-14,17:25:00,17:30:00,Nublado,Medio,Motocicleta,Metropolitano,Lanches,77
ped_ixahxkqh8,13,4.6,17.423328495152294,78.39404899510495,17.565539352393746,78.5146178056993,2024-03-20,20:55:00,21:05:00,Chuvoso,Congestionamento,Motocicleta,Metropolitano,Eletronicos,34
ped_86e1gihl7,18,5.0,30.320498483223194,78.05594207547557,30.39159719993944,78.122432313426,2024-02-12,21:55:00,22:10:00,Neblina,Congestionamento,Motocicleta,Metropolitano,Brinquedos,43
ped_6wx8v08a8,4,4.4,9.987711995357904,76.29961727247714,10.057841049427863,76.34015103947408,2024-02-13,14:55:00,15:05:00,Chuvoso,Alto,Motocicleta,Metropolitano,Cosmeticos,20
ped_ncaezn0io,12,4.6,18.56769548765117,73.92237252949901,18.660999251625075,74.01931476916323,2024-03-04,17:30:00,17:40:00,Tempestade,Medio,Scooter,Metropolitano,Calçados,154
ped_ozm55d3wo,6,4.1,30.891428004885977,75.80616769179491,30.92511591575533,75.83181782998057,2024-02-13,09:20:00,09:30:00,Tempestade,Baixo,Motocicleta,Metropolitano,Acessorios,144
ped_29m5gv1bf,17,3.9,26.472709018184847,80.37598828573046,26.606323300168114,80.49163496044295,2024-02-14,19:50:00,20:05:00,Neblina,Congestionamento,Scooter,Metropolitano,Joias,44
ped_11t3k1y6a,4,3.6,19.16274963588607,72.84237425824472,19.264165637483796,72.91617797784266,2024-04-02,20:25:00,20:35:00,Tempestade,Congestionamento,Van,Metropolitano,Lazer,173
ped_0mcfh0i6x,12,4.6,12.31206667430674,76.6562138762626,12.355273313941403,76.70569908072014,2024-03-01,14:55:00,15:10:00,Ventania,Alto,Scooter,Metropolitano,Mercado,130
ped_o55xlbcqb,17,3.9,18.600285414421002,73.77978835651184,18.689009868960326,73.87694864194128,2024-03-16,20:30:00,20:40:00,Tempestade,Congestionamento,Motocicleta,Metropolitano,Cosmeticos,25
ped_b1w56asbz,2,3.7,17.423782083973375,78.40268450843719,17.492293658786938,78.47224994520153,2024-03-20,20:40:00,20:50:00,Nublado,Congestionamento,Motocicleta,Metropolitano,Lanches,82
ped_5f5dkqxe7,11,4.0,22.548563351593923,88.35170259403128,22.587718783163034,88.38855379422115,2024-02-15,21:15:00,21:30:00,Ventania,Congestionamento,Motocicleta,Urbano,Joias,20
ped_fvkp6ifp2,10,3.9,18.565950842591715,73.92164996751754,18.656573324717808,74.00526271821559,2024-03-16,20:20:00,20:25:00,Tempestade,Congestionamento,Motocicleta,Metropolitano,Brinquedos,123
ped_ct9szcst5,9,3.7,23.354203428487683,85.31521160670174,23.478610195753138,85.46600284530668,2024-03-10,22:30:00,22:45:00,Tempestade,Baixo,Van,Metropolitano,Livros,92
ped_g6rak1yw4,16,4.1,11.00115280889968,76.9939116072662,11.010457891243737,76.9774861628704,2024-03-11,08:15:00,08:30:00,Tempestade,Baixo,Motocicleta,Metropolitano,Roupas,178
ped_38gpzbale,7,4.8,12.995443045435534,80.2105047521756,13.112597860092848,80.35604348407603,2024-03-27,19:30:00,19:45:00,Ventania,Congestionamento,Scooter,Metropolitano,Lanches,59
ped_5i8spctx6,15,3.6,19.21349711030327,72.85145205306164,19.24018467819466,72.90420405769925,2024-03-26,12:25:00,12:30:00,Nublado,Alto,Motocicleta,Metropolitano,Joias,151
ped_xkh9t8y8y,12,4.8,13.002261319298116,80.25517565506179,13.116657166379134,80.37529332506413,2024-03-27,18:35:00,18:50:00,Ensolarado,Medio,Van,Metropolitano,Lazer,64
ped_2rrb8p96d,14,4.5,26.850004011858157,75.79657678519602,26.87088992898871,75.83221743748305,2024-04-05,20:35:00,20:40:00,Chuvoso,Congestionamento,Motocicleta,Urbano,Cosmeticos,164
ped_6nuthgcq6,12,3.5,21.15419003221615,72.75818137867375,21.25405364323479,72.87004674120593,2024-03-12,23:20:00,23:30:00,Nublado,Baixo,Scooter,Metropolitano,Eletronicos,154
ped_lvv3h007u,19,4.5,12.937845839736413,77.63144470175841,13.028009234064294,77.71523031579711,2024-03-16,21:20:00,21:35:00,Ventania,Congestionamento,Motocicleta,Metropolitano,Cosmeticos,169
ped_3616esd8q,16,4.5,18.526117392149526,73.83453668711473,18.634945511237458,73.94709241736726,2024-04-02,23:35:00,23:45:00,Ventania,Baixo,Van,Urbano,Joias,73
ped_132f8x248,3,4.5,10.998977565507632,76.9998660316604,11.065879384077789,77.03013684970578,2024-04-01,22:35:00,22:50:00,Tempestade,Baixo,Motocicleta,Metropolitano,Joias,115
ped_6u5w6cry4,9,4.6,21.148356435137277,72.78991460451626,21.194089364416453,72.81577753717818,2024-03-05,22:35:00,22:40:00,Chuvoso,Baixo,Motocicleta,Urbano,Cosmeticos,107
ped_cx5vwb0bz,2,3.7,15.518903213435575,73.78855423044779,15.569328190732229,73.83011322354277,2024-02-11,23:25:00,23:35:00,Tempestade,Baixo,Motocicleta,Urbano,Joias,93
ped_q6i2z8yxm,11,4.2,15.568392046649597,73.77459965168522,15.607297448031684,73.7913430928838,2024-02-11,13:35:00,13:40:00,Nublado,Alto,Scooter,Urbano,Calçados,164
ped_g9tahpnlw,5,4.9,-0.007093404982230675,0.01463232373016567,0.09506371141926834,0.10746936959684404,2024-03-08,21:35:00,21:45:00,Chuvoso,Congestionamento,Scooter,Urbano,Mercado,64
ped_o17b5wvyv,7,3.5,18.55061625674649,73.91933788581396,18.699925989553837,74.04524977391804,2024-04-02,22:35:00,22:45:00,Nublado,Baixo,Scooter,Metropolitano,Esportes,116
ped_vfo6hedf5,1,3.6,18.555961651312742,73.80981286120812,18.62788980179813,73.87534815108916,2024-03-08,18:55:00,19:10:00,Ensolarado,Medio,Motocicleta,Metropolitano,Joias,42
ped_38pm3sqs1,9,4.2,18.58895876006294,73.77472739967817,18.622029016150417,73.81414694496604,2024-04-03,14:15:00,14:25:00,Ventania,Alto,Scooter,Urbano,Brinquedos,66
ped_zzwilaa75,7,4.1,21.163428475963475,72.7745211484648,21.18782392847164,72.76822748597851,2024-03-30,11:00:00,11:10:00,Tempestade,Baixo,Scooter,Metropolitano,Cozinha,110
ped_yapev2clz,18,4.5,17.445332369887733,78.39379148050567,17.452171118462932,78.40627729083285,2024-04-01,09:45:00,09:55:00,Ensolarado,Baixo,Scooter,Urbano,Roupas,83
ped_pv2n1e3el,10,3.8,12.961067418610988,77.59760642567669,12.990667620762116,77.64555550753698,2024-03-28,08:40:00,08:55:00,Chuvoso,Baixo,Scooter,Metropolitano,Cozinha,38
ped_pzzu963wj,15,4.8,12.956093576324855,77.61650083180027,13.045606655439453,77.66768977731968,2024-03-18,23:00:00,23:10:00,Neblina,Baixo,Motocicleta,Metropolitano,Livros,175
ped_e974js5ae,6,3.7,13.083610554134966,80.23014140476008,13.122064637632631,80.29047742161994,2024-03-14,17:25:00,17:30:00,Nublado,Medio,Motocicleta,Metropolitano,Mercado,66
ped_dpxpb150t,5,4.1,21.134887900673682,72.76950144796533,21.218474261928453,72.84375914854995,2024-04-04,19:45:00,19:50:00,Tempestade,Congestionamento,Motocicleta,Metropolitano,Roupas,58
